Markus Brede,CSIRO Centre for Complex Systems Science Australia
Guido Caldarelli,Centre Statistical Mechanics and Complexity CNR-INFM University of Rome Sapienza Italy
Pak Ming Hui,Department of Physics The Chinese University of Hong Kong Hong Kong
Jarosław Kwapień,Polish Academy of Science Institute of Nuclear Physics Poland
Juergen Mimkes,Department Physik Universität Paderborn Germany
Christine Nardini,Shanghai China
Gábor Vattayi,Department of Physics of Complex Systems Eötvös University Budapest Hungary
Igor Yevin,Mechanical Engineering Institute Russian Academy of Sciences Russia
Dr. Xiao Gaoxi,School of Electrical and Electronic Engineering Nanyang Technological University Singapore
