"AUTHOR_ID","RESEARCHER","C1"
"26892307","Frank Pfenning","179"
"26798396","Kai Li","482"
"27140977","Madhu Sudan","322"
"26920384","Rachid Deriche","219"
"27027963","Mohammed Zaki","29"
"26914672","Noam Nisan","212"
"26729463","Ramesh Govindan","390"
"26813321","Michael Luby","186"
"27232560","Michael Stonebraker","623"
"26696595","Mahadev Satyanarayanan","265"
"27040281","Didier Dubois","635"
"26692561","Francisco Herrera","549"
"27214849","Ben Bederson","5"
"27259513","Joseph Y. Halpern","464"
"27037020","Miodrag Potkonjak","499"
"27248211","Steven Feiner","278"
"27212738","Giuseppe De Giacomo","479"
"27219286","Hans-Peter Kriegel","853"
"26801142","Lionel M. Ni","528"
"26936059","Chunming Qiao","258"
"26852692","S. Muthukrishnan","590"
"26771329","Sartaj Sahni","270"
"27246929","Riccardo Poli","305"
"26671306","Eitan Altman","497"
"26674506","Trevor Darrell","305"
"27016513","Hector Garcia-Molina","907"
"26647009","Robert Kraut","24"
"27284216","Scott Shenker","613"
"27409584","Daniel S. Weld","263"
"27075682","Roberto Tamassia","407"
"26622042","Wenke Lee","258"
"26868158","Adi Shamir","203"
"26635752","Deborah Estrin","562"
"26855125","Franz Baader","285"
"26787640","Geoffrey E. Hinton","156"
"27389723","Judea Pearl","104"
"26979661","Vern Paxson","209"
"26900751","Guohong Cao","227"
"27132612","Raghu Ramakrishnan","586"
"27029295","Stephanie Forrest","134"
"27199734","Barbara Liskov","202"
"27234855","David A. Wood","261"
"26807565","Teuvo Kohonen","31"
"27033432","Tomaso Poggio","207"
"26906234","Anupam Joshi","457"
"27178132","David Karger","4"
"26942400","Luca Benini","1185"
"26847486","Shafi Goldwasser","197"
"27343936","Zhengyou Zhang","189"
"26613673","Michal Irani","79"
"26927932","Dieter Fox","333"
"27074217","Larry S. Davis","460"
"26618916","V. S. Subrahmanian","424"
"26927029","Michael Wooldridge","467"
"26671403","David A. McAllester","123"
"27013734","Ben Shneiderman","486"
"26790277","Bernard Chazelle","275"
"27036263","David Blaauw","692"
"26806387","Don Towsley","4"
"26660220","Rajeev Rastogi","444"
"26612211","Miron Livny","421"
"27133373","Moshe Y. Vardi","633"
"27188302","Srinivas Devadas","425"
"27376699","Hector J. Levesque","157"
"27065104","Nick R. Jennings","27"
"27165091","Hans-Peter Seidel","1201"
"27174852","Alex Aiken","76"
"27378255","Jennifer Widom","452"
"26992602","Rakesh Agrawal","467"
"26750418","Alon Y. Halevy","427"
"27178184","James Hardy Wilkinson","2"
"26645796","Jan M. Rabaey","329"
"26759776","Anil K. Jain","633"
"27357345","Massoud Pedram","557"
"27403661","David Notkin","236"
"26744106","Alberto O. Mendelzon","242"
"26673437","Jie Wu","677"
"26622156","Justin Zobel","352"
"26710337","Kim G. Larsen","16"
"27076245","Marco Dorigo","351"
"27107878","Paul Dourish","227"
"26974334","David Eppstein","457"
"26674686","John Mylopoulos","871"
"27162951","Simon Peyton Jones","2"
"26826977","Johannes Gehrke","486"
"26949289","K. J. Ray Liu","369"
"27297785","Martial Hebert","384"
"27445108","Robert Morris","309"
"26772215","Roberto Cipolla","345"
"27024121","Markus Gross","1"
"27453859","David Maier","702"
"27399256","Michael O. Rabin","65"
"26853985","Oded Goldreich","444"
"27191181","Gregory D. Abowd","406"
"26761299","Andrew Zisserman","482"
"26714912","Joseph M. Hellerstein","547"
"26771282","Peter Buneman","192"
"27018497","Ronald L. Rivest","301"
"27254557","Stefano Ceri","798"
"27312126","Tim Finin","106"
"27178511","Carl Kesselman","640"
"27363376","Jon Crowcroft","397"
"27244485","Rajeev Motwani","506"
"27112735","Steffen Staab","715"
"26947156","Thomas A. Henzinger","629"
"27236451","Vladimir Lifschitz","101"
