"RESEARCHER","C1"
"M. Kaminska","36"
"Vittoria Finazzi","56"
"Andrea Micheletti","6"
"Yuri Phink","1"
"Kuo-Lian Yin","2"
"Ji-Eun Nam","7"
"Dan Van Hook","4"
"Dominique Astruc","2"
"Jae-Yung Kim","5"
"Ming-Chang Du","18"
"Anna Cavender","41"
"Toshikazu Ichikawa","2"
"Shari Lawrence Pfleeger","85"
"Aybar C. Acar","14"
"R. Christensen","1"
"Paula Ghedini Der Agopian","9"
"Juan J. Martínez","9"
"Shizuya Tanaka","2"
"Jasmin Coulombe-Huntington","1"
"Ricardo João Cruz Correia","75"
"Muhammet Erkoc","1"
"David Hunt","1"
"Mirian Andrés","12"
"Peng Tan","8"
"Brian Nutter","82"
"P. T. Huerta","11"
"Sarath Rajapatirana","5"
"V. P. Ivanov","20"
"Harald Pretl","5"
"Ezekiel S. Bhasker","20"
"Jiagang Ren","6"
"Grigoris Dimitroulakos","70"
"Rahul Mangharam","73"
"Erwin J. W. Berenschot","108"
"Frank Wm. Tompa","99"
"Murat Temizsoy","2"
"Sven Schulz","33"
"Ajay J. Daga","12"
"Matthias Radestock","16"
"Monika Sester","152"
"Stuart R. Faulk","41"
"Antonella D'Orazio","42"
"Tamer A. Kadous","37"
"Peter Ochsenschlager","45"
"Kyun Hyon Tchah","20"
"R.D. Naske","1"
"William G. Morein","14"
"Martyn Horner","6"
"Gautam Bahl","28"
"M. Amsler","4"
"A. Chaitanya C. Reddy","4"
"S. G. Tavares","6"
"Marc Budge","3"
"Kazumasa Murai","13"
"Ningfang Mi","92"
"Naoya Ishikawa","5"
"Nan Yu","32"
"Georg Bartsch","18"
"Osama Yoshie","3"
"Jaime de Britto","5"
"Duo Li","23"
"Ann Fitzgibbon","1"
"Peter J. Atkins","3"
"Qingsong Zuo","2"
"Eberhard Haensler","1"
"Carlo Bernardoni","3"
"Ming-Shin Tsai","4"
"Miguel Couceiro","17"
"William J. Grundmann","14"
"Chang Lyong Ji","8"
"Tsvetomira Tsenova","1"
"G. Cardoso","1"
"Kamal A. Ruder","2"
"Kuan-Chung Hung","4"
"S. Sas","6"
"Daoxing Xi","2"
"Christoph Adami","1344"
"Dongqing Lin","2"
"Jeremy Carroll","8"
"Kenneth A. Rose","16"
"C. H. Zierdt","1"
"J.-E. Mueller","45"
"Marianthi Ierapetritou","1"
"Geng Wu","23"
"Edelmira Neira Fontela","1"
"Edda Eich","3"
"M. A. Suhail","16"
"C. Branas","27"
"S. R. Chaudry","1"
"Jean-Pierre Giacalone","5"
"D Gurskis","3"
"Y. Yamanoue","7"
"I. Radivojevid","1"
"Tim Geisler","17"
"Mehdi Jafaripanah","10"
"Joel Darmstadter","17"
"Mike Champion","43"
"Isobel Fletcher","1"
"Hou Zu-rong","3"
"A. Kris Huber","1"
"John N. Ellinas","1"
"Xiaofeng Xu","13"
"X. Duan","7"
"Thomas Spengler","33"
"Jean-Claude Bradley","7"
"Nick Iliev","9"
"Animesh Animesh","9"
"B. Kouninef","4"
"Lars Kjelldahl","8"
"Varsha Edla","3"
"A. Bandai","2"
"B. I. M. ten Bosch","2"
"Reinaldo A. Valenzuela","104"
"Dorothy C. Porter","13"
"Seung M. Yang","6"
"Steve Buckley","15"
"Silvia Tomasi","2"
"Takashi Tsuda","4"
"Laura Kranendonk","3"
"Jose Antonio Robles-Flores","15"
"Slater Stich","3"
"Jonathan Cutler","5"
"Olaf Post","15"
"Ciro Spataro","13"
"Lachlan Wetherall","3"
"Len Breslow","44"
"Daeyong Lee","19"
"Barry A. Warsaw","10"
"J. Y. Kamya","8"
"E. Henry-Briot","3"
"M. Nesenbergs","4"
"B. Jezek","1"
"Eva K. Freyhult","17"
"Y. B. Karasik","2"
"Martin Grell","19"
"K. B?Tzel","2"
"Erik Christensen","98"
"Sergey S. Gaissaryan","30"
"N. Persat","5"
"Tod A. Olson","36"
"Lawrence Ludwig","19"
"Karoline Evans","4"
"L. D. Meeker","4"
"Paul D. King","20"
"Wesley Miller","2"
"Ming-Li Xiang","14"
"A. N. Zainab","8"
"Davide Buccieri","6"
"Mitsuru Tsukiyama","1"
"Mark Davenport","1"
"Jamal Afridi","3"
"Yu-Ren Liao","3"
"Yuji Takata","5"
"Gagan L. Choudhury","28"
"Paulo Fernando Papaleo Fichtner","2"
"Mark C. Paulk","6"
"Thomas Bretgeld","3"
"Benjamin Forrester","5"
"William Gillis","8"
"Iwar de Caluwé","2"
"Shao-Ping Zhang","3"
"Li Shuguang","2"
"Pai Chou","38"
"Gertjan Van Noord","2"
"Johne. S. Hansen","16"
"Robert Morelos-Zaragoza","1"
"T. Hashidate","4"
"M. Bruynooghe","2"
"Jong-Kook Kim","22"
"Alejandro Cervantes","37"
"Iftah Levy","5"
"A. Jeffrey","43"
"H. J. Enea","1"
"Yuri A. Kuznetsov","30"
"Jan De Bruin","6"
"Luis Fernando De Mingo López","20"
"Jesse Collins","15"
"R. Gieske","8"
"Paul Scheunders","230"
"C. Sabelli","5"
"J. Gaudaen","28"
"Shaun B. Grimshaw","31"
"Victor Izokaitis","8"
"Eduardo N. Dvorkin","38"
"P. Sellwood","3"
"Thomas Kneib","56"
"Dirk Wilhelm","40"
"Xavier Parent","7"
"Jason M. Sempsrott","4"
"Laurent De Lamarre","33"
"R. Bollen","6"
"Pad E Approximatio","1"
"Guanghong Duan","12"
"Carri-Lyn R. Mead","6"
"Abel A. Delgado","1"
"Sergio Zimmermann","1"
"Frank Sinden","2"
"Jiawen Hu","3"
"Abdelshakour Abuzneid","7"
"Hanbing Rao","12"
"Tung Nguyen","14"
"Sue Whitesides","394"
"Sascha Werno","2"
"Kyle Steelman","2"
"John Wreford","2"
"Christopher Falzone","6"
"C. H. Wei","5"
"Michael Parkes","2"
"GongJie Liu","10"
"Pekka H. J. Peiälä","3"
"Hyun-Chul Jung","4"
"João P. Oliveira","7"
"Alice Yu","2"
"Anna Sandström","1"
"Gregory R. Andrews","58"
"Bruno Jedynak","24"
"Joannes Vandermeulen","4"
"Kim Philip","2"
"Rui Mao","69"
"T. Fortmann","13"
"Derk Jan Kiewiet","5"
"Birgit Graf","48"
"G. B. Chakraverthy","3"
"Taha E. T. Taha","137"
"Ralph Clarke Haygood","20"
"Carla Basili","5"
"Sherif A. Elfayoumy","18"
"Tanit Talbi","3"
"Samuel Degrande","38"
"David J. Maddison","32"
"Evalyn N. Wafula","4"
"L. Pinnoo","4"
"Jackie Rees","43"
"Michelle L. Lee","93"
"Don L. Armstrong","4"
"Deyun Peng","6"
"Kevin A. Gluck","16"
"Charles R. P. Szinvelski","3"
"Li-Peng Wang","8"
"Aly K. El-Ariny","2"
"Ian Wormsbecker","2"
"Michael A. Kanters","1"
"J. R. Griffin","4"
"Daan van Hameren","3"
"Colin Rourke","1"
"Jukka-Pekka Onnela","6"
"Andrew James Simmonds","15"
"Robert T. Fisher","27"
"Olga G. Smirnova","1"
"Jignesh M. Patel","206"
"Ken Ishibashi","8"
"Branislava Lalic","14"
"Marco Milanesio","19"
"Z. Mao","1"
"Josephine Starrs","4"
"Altaf Hussain Rajpar","12"
"Robert Epstein","6"
"K. Neuffer","14"
"Dick Bulterman","4"
"R. D. Ferguson","9"
"S. Savage","5"
"E. Paschetta","4"
"Hsin-Hua Chen","2"
"Ji-Liu Zhou","7"
"S. O. Lindstrom","1"
"A. Christopoulou","90"
"David Gunning","12"
"L. A. Sz'Ekely L'Aszl'O","3"
"Agnaldo D. De Souza","46"
"Regina Regan","152"
"Mark R. Drinkwater","77"
"Michael A. Banks","64"
"G. Golla","8"
"Pierre Lescanne","123"
"Eli Winjum","23"
"F Perebaskine","5"
"Jens Lufter","19"
"Roger Durbe","24"
"M. Alpay Kaya","5"
"Hafiz Md. Hasan Babu","82"
"D. R. Jackett","18"
"Micheal Crotty","9"
"J. Stephen Nightingale","4"
"Gérard Meurant","1"
"Kostas P. Hatzis","20"
"José Luis Pérez S.","3"
"Olga Marino","7"
"S. F. Assmann","3"
"B. Venkataramani","34"
"Michael Fromm","7"
"Jakub Franc","2"
"Yoshikazu Yamaguchi","6"
"G. L. Lasseter","1"
"Myungeun Lim","9"
"P. James McLellan","2"
"Michaela Niemann","7"
"Goran Boskovic","1"
"Dongjun Cai","3"
"Didier Dumur","32"
"J. Hammerton","12"
"Yen-Cheng Lai","11"
"Andy Harjanto","2"
"Ichiro Mizunuma","21"
"Mikiko Kainuma","3"
"Rebecca B. Riggins","38"
"Gunter Rudolph","113"
"Michael Ohme","4"
"Shannon C. Ridgeway","86"
